iso_o,xtr2001ARG,xtr2001AUS,xtr2001AUT,xtr2001BEL,xtr2001BRA,xtr2001CAN,xtr2001CHE,xtr2001CHL,xtr2001CHN,xtr2001DEU,xtr2001DNK,xtr2001ESP,xtr2001FIN,xtr2001FRA,xtr2001GBR,xtr2001GRC,xtr2001HUN,xtr2001IDN,xtr2001IND,xtr2001IRL,xtr2001ITA,xtr2001JPN,xtr2001KOR,xtr2001MEX,xtr2001MYS,xtr2001NOR,xtr2001NZL,xtr2001PHL,xtr2001POL,xtr2001PRT,xtr2001SGP,xtr2001SWE,xtr2001THA,xtr2001TUR,xtr2001TWN,xtr2001USA
MYS,134.6907099999999,1538.575516000001,508.8604550000001,633.1447850000002,319.5635969999999,1185.574554,129.6422170000001,53.669332,5250.200322000002,3009.741572000001,117.495478,465.7699130000005,222.9081869999999,1688.746084,2897.375653,83.64849799999996,468.236119,1200.210513,718.9517989999997,527.0584660000002,485.0379759999998,8957.702503999997,2756.846263000001,1992.350019999999,55165.2265625,131.207589,241.738075,1110.038344000001,243.289436,47.81080500000004,18569.98416300001,171.196384,2527.680305000001,318.1732660000001,2458.69482421875,21968.234943
NOR,20.66659399999999,100.446674,74.25778799999996,425.8706530000005,83.37926799999997,117.0433259999998,184.5588509999999,44.98124300000001,255.3704370000001,2143.881190000001,943.0768380000005,379.679136,461.0717090000001,693.3398360000001,1990.567216999999,190.712317,43.04733500000001,29.62755900000002,52.09475100000002,265.0484159999999,471.4664070000001,546.5758679999997,282.9591599999999,56.83239,58.042936,41163.515625,35.23479999999999,28.06034500000001,284.3959419999999,496.9674029999999,221.9199050000001,3095.112305999999,77.15275200000001,86.98797700000004,105.125732421875,1589.668058000001
NZL,19.629678,2057.170923999998,4.209618000000001,44.38447599999998,32.16601799999999,134.0243919999999,9.451628000000007,15.98357500000001,598.7170560000004,152.218069,22.260435,21.051911,7.546598999999998,35.91507099999998,281.8357739999997,7.446231000000001,3.343993999999999,213.518711,71.72912500000004,16.73946000000001,214.1333350000001,1340.018537,640.655164,159.713237,261.3831250000001,5.999249999999997,13471.1328125,198.7144579999998,4.697791,8.702210000000003,131.6796330000001,10.705697,185.3252049999999,16.39975099999999,220.2461547851563,1269.215984
PHL,26.745795,244.38778,64.82456400000002,203.2476129999999,120.242206,609.894412,62.38370399999997,21.87911699999999,1784.349522,1758.343858,25.61677799999999,110.924091,55.98146599999998,390.904242,1830.237651,10.349579,188.464816,122.826746,78.02785100000006,290.984104,144.386496,5348.390845000002,1654.970242999998,812.3837830000008,1783.473923,33.27496200000001,29.73188500000001,40148.78515625,60.987461,18.11292999999998,2490.526435999997,29.96938000000002,1351.888812999998,35.45485,1869.236083984375,11161.85679
POL,28.285745,25.79656300000001,613.573668,1037.094077,107.611579,192.305426,266.622971,10.851446,192.5861039999999,11423.45096,751.4921699999999,673.9880509999996,217.15616,1830.901484,1588.278504,121.225903,665.188,8.586356,74.22724399999998,85.27786199999998,1834.811097000002,68.52636899999997,42.40907400000003,165.4096379999999,39.66470900000002,373.928708,4.374633000000001,4.745509,102682.890625,270.6057220000001,58.93707299999997,909.4748390000002,71.93916600000003,163.521338,52.31573104858398,928.6814730000004
PRT,50.969699,90.39736600000006,337.7203569999999,1752.976598000001,134.8048119999999,156.578756,309.530748,54.61910000000002,68.046442,4533.988338000003,307.112175,4286.004318999995,126.661094,2981.923821999997,2465.336512000003,93.32448300000001,113.83124,2.939208,14.683433,137.924353,1034.87195,128.675355,20.680118,86.29491299999992,18.23600100000001,287.0065149999999,15.88020000000001,13.900933,158.273516,55578.7890625,82.88453100000004,369.9500980000004,20.19053799999999,62.37088900000001,30.83194923400879,1423.924326
SGP,91.87773400000009,2443.197061000002,128.464387,656.4413989999998,313.1168120000002,738.6784320000006,601.3696419999997,34.881072,4777.301952000003,4112.526617000005,107.5237269999999,378.1223120000002,346.0534960000001,1834.356286,2686.006127999998,42.47538399999995,531.291847,2017.111764999999,2448.380466,1217.913308000001,380.4131180000001,8501.189139999995,4377.986742999997,1113.565912,18837.318261,204.565783,316.3151189999999,2836.188853000002,193.2399410000001,25.98515900000002,22434.361328125,109.309283,4989.245746999995,108.273017,2876.06982421875,18166.06269799998
SWE,172.798266,772.385239,922.7239340000006,3985.570521999998,806.190111,1081.235429,957.0460329999999,179.395291,2160.572570000001,7024.122642999994,4647.483063000003,1855.177819000001,3534.965745,3784.679248000001,5752.011310000004,401.4862570000002,317.032282,298.8809270000003,348.0006869999999,427.2586819999998,3026.804235999998,2146.06089,485.3118660000006,800.4208410000007,526.866458,5830.871562000002,146.7289640000001,122.7322919999999,1187.47321,405.2765909999999,503.8430459999996,81997.953125,338.999958,521.3672629999999,472.8626098632813,8509.002017000001
THA,126.398143,1184.829259000001,182.1067869999999,1386.463397,186.8544960000002,917.6658069999996,327.77041,87.705715,3635.771156999996,1978.413795,156.997905,682.617243,115.837929,1453.298080000001,2219.550007000002,159.9542630000001,266.9406589999999,1091.990927,441.1961490000006,297.5703659999999,658.266168,8113.897202000004,1244.676188999999,598.5055529999997,2330.280001999999,98.27513800000004,194.8048570000002,1066.283962999999,169.5488659999999,105.5062020000001,4010.662470999999,226.489043,65879.2421875,129.951627,1477.8232421875,13961.648321
TUR,24.89882700000001,61.38673699999999,391.7522350000003,823.7281149999999,76.73466799999997,171.80392,209.2116099999999,21.68049499999999,175.3156559999999,5341.79313,256.6025099999999,901.0955500000002,82.20997300000005,2096.325495,2404.507894999999,421.336232,209.1734599999999,32.190569,56.06275100000003,146.718442,2243.974752,114.8209680000001,53.466419,80.84483100000007,40.040681,99.28267799999999,11.109224,15.217622,361.8956870000001,274.8014520000002,96.06618699999999,200.78242,44.04678099999999,115150.6171875,110.6986236572266,3250.688837999996
TWN,230.2657928466797,1704.141723632813,614.6036376953125,1712.323852539063,683.0994262695313,1906.961669921875,463.0369567871094,229.6565551757813,37356.640625,6663.94677734375,567.0142822265625,966.98291015625,443.6343688964844,2043.217529296875,4417.92333984375,177.7461700439453,490.2073669433594,1276.181274414063,705.9918212890625,859.787109375,1825.8046875,13635.0517578125,5666.62646484375,1924.809936523438,4171.36083984375,282.4356384277344,341.9776611328125,3701.53955078125,342.5895385742188,167.8090972900391,6783.9462890625,454.4889221191406,3503.030029296875,560.2269287109375,154491.546875,32118.447265625
USA,3691.264541,10030.578797,3726.010963999997,12400.9785,15034.181701,147263.3713469999,9442.566657999991,2880.697451999998,23788.657258,38569.392934,1589.056264999999,5798.972128999998,2026.109541,25453.81453500002,41594.18531300002,1036.772061,1378.309413,2678.582708,3451.776830000003,7524.917768000006,10423.56449500001,51133.35189799999,21605.33646999999,103844.307376,11425.348976,2186.737649000001,2041.423253000002,7029.279145,1593.747461,1256.390532,18189.83709599998,3183.511230999997,6710.870006999998,2813.718743000002,18974.15234375,4403665.5
