iso_o,input_ind,output_ind,valueshare
ROW,14,3,.0017338003
USA,14,3,.0065606683
BRA,15,3,.018717501
CHN,15,3,.057465415
EU,15,3,.010481426
IND,15,3,.057869036
JPN,15,3,.021956393
ROW,15,3,.018379603
USA,15,3,.048508208
BRA,16,3,.01717991
CHN,16,3,.029044494
EU,16,3,.025540378
IND,16,3,.026704717
JPN,16,3,.04056349
ROW,16,3,.011204401
USA,16,3,.013251328
BRA,17,3,.006483166
CHN,17,3,.021136578
EU,17,3,.0097947381
IND,17,3,.0029923003
JPN,17,3,.0079183979
ROW,17,3,.0029309005
USA,17,3,.0008954411
BRA,18,3,.003414382
CHN,18,3,.0070439591
EU,18,3,.0064869924
IND,18,3,.0027124188
JPN,18,3,.0025566993
ROW,18,3,.0036488005
USA,18,3,.0017000881
BRA,19,3,.034148119
CHN,19,3,.10468743
EU,19,3,.069121756
IND,19,3,.0063247778
JPN,19,3,.010763098
ROW,19,3,.024090903
USA,19,3,.066126846
BRA,20,3,.0016383914
CHN,20,3,.0018927084
EU,20,3,.0043085287
IND,20,3,.0016082927
JPN,20,3,.0047070989
ROW,20,3,.0035606006
USA,20,3,.0069861403
BRA,21,3,.00056919706
CHN,21,3,.00079946127
EU,21,3,.012547992
IND,21,3,.00038247448
JPN,21,3,.00073439983
ROW,21,3,.0019755003
USA,21,3,.00073365174
BRA,22,3,.036955405
CHN,22,3,.0085848849
EU,22,3,.037254881
IND,22,3,.01706996
JPN,22,3,.043979488
ROW,22,3,.0068929009
USA,22,3,.00079594762
BRA,23,3,.0056224708
CHN,23,3,.07777594
EU,23,3,.057578146
IND,23,3,.016248217
JPN,23,3,.12294127
ROW,23,3,.029463204
USA,23,3,.015557776
BRA,24,3,.00088999537
CHN,24,3,.0024189828
EU,24,3,.015351745
IND,24,3,.0061552892
JPN,24,3,.013062397
ROW,24,3,.0024205002
USA,24,3,.0030093018
BRA,25,3,.022865782
CHN,25,3,.00091745559
EU,25,3,.026109368
IND,25,3,.0022383505
JPN,25,3,.016629096
ROW,25,3,.023188801
USA,25,3,.014253862
BRA,26,3,.063961565
CHN,26,3,.035113502
EU,26,3,.073902376
IND,26,3,.096796341
JPN,26,3,.13403447
ROW,26,3,.051743709
USA,26,3,.075310647
BRA,27,3,.040520687
CHN,27,3,.031346884
EU,27,3,.035542611
IND,27,3,.025545394
JPN,27,3,.023052994
ROW,27,3,.032883003
USA,27,3,.032387268
BRA,28,3,.070488825
CHN,28,3,.0053397417
EU,28,3,.0065978905
IND,28,3,.00089654018
JPN,28,3,.003472599
ROW,28,3,.017304502
USA,28,3,.0017790829
BRA,29,3,.026956258
CHN,29,3,.0024214829
EU,29,3,.0091882478
IND,29,3,.00069115387
JPN,29,3,.0014016996
ROW,29,3,.0076549011
USA,29,3,.001840279
BRA,30,3,.021805886
CHN,30,3,.0059129135
EU,30,3,.023208616
IND,30,3,.035752211
JPN,30,3,.0093677985
ROW,30,3,.017047603
USA,30,3,.0057197236
BRA,31,3,.00065359654
CHN,31,3,.0027053691
EU,31,3,.0021578642
IND,31,3,.000049996663
JPN,31,3,.00028849996
ROW,31,3,.00075370009
USA,31,3,.00004999671
BRA,32,3,.0061517679
CHN,32,3,.010640285
EU,32,3,.011918303
IND,32,3,.000071995193
JPN,32,3,.031112693
ROW,32,3,.0034655004
USA,32,3,.0004210723
BRA,33,3,.0026767859
CHN,33,3,.0014853281
EU,33,3,.023121016
IND,33,3,.000959136
JPN,33,3,.0022516996
ROW,33,3,.0008695001
USA,33,3,.0043938109
BRA,34,3,.0072183623
CHN,34,3,.0014428302
EU,34,3,.0067541883
IND,34,3,.00019508698
JPN,34,3,.018490797
ROW,34,3,.0089015011
USA,34,3,.0053202496
BRA,35,3,.003226883
CHN,35,3,.0012991371
EU,35,3,.027881538
IND,35,3,.00030117988
JPN,35,3,.0087979985
ROW,35,3,.0049947007
USA,35,3,.039962068
BRA,36,3,.059128091
CHN,36,3,.094607316
EU,36,3,.087209053
IND,36,3,.011241649
JPN,36,3,.065633886
ROW,36,3,.032079503
USA,36,3,.10456132
BRA,37,3,.005971869
CHN,37,3,.00098875212
EU,37,3,.005477109
IND,37,3,.010959568
JPN,37,3,.045802288
ROW,37,3,.0071165008
USA,37,3,.0080536697
BRA,38,3,.15609428
CHN,38,3,.035233494
EU,38,3,.066424698
IND,38,3,.013124923
JPN,38,3,.043669589
ROW,38,3,.030037005
USA,38,3,.14484686
BRA,39,3,.086931847
CHN,39,3,.062349681
EU,39,3,.052001741
IND,39,3,.1423059
JPN,39,3,.044681888
ROW,39,3,.023024702
USA,39,3,.032339972
BRA,40,3,.005924569
CHN,40,3,.0006983662
EU,40,3,.0074249771
IND,40,3,.00020048661
JPN,40,3,.00035219992
ROW,40,3,.0041696006
USA,40,3,.018517582
BRA,41,3,.0016101915
CHN,41,3,.00057787204
EU,41,3,.003255046
IND,41,3,.00029388038
JPN,41,3,.0013451996
ROW,41,3,.0013598001
USA,41,3,.00055576343
BRA,42,3,.00076749601
CHN,42,3,.00068456685
EU,42,3,.004089932
IND,42,3,.00014029063
JPN,42,3,.0096164979
ROW,42,3,.00084500009
USA,42,3,.00072765211
BRA,43,3,.00046849754
CHN,43,3,.0020353014
EU,43,3,.0025395579
IND,43,3,.000099393365
JPN,43,3,.0048667989
ROW,43,3,.00060720008
USA,43,3,.0002552832
BRA,44,3,.010814143
CHN,44,3,.0024262827
EU,44,3,.0037021388
IND,44,3,.0061401902
JPN,44,3,.034404792
ROW,44,3,.0016365002
USA,44,3,.00067325571
BRA,1,4,.0012131
CHN,1,4,.00063317438
EU,1,4,.003364
IND,1,4,.00070974068
JPN,1,4,.00080340012
ROW,1,4,.0028170992
USA,1,4,.0012160401
BRA,2,4,.000070200003
CHN,2,4,.00004999798
EU,2,4,.0001247
IND,2,4,.000049995822
JPN,2,4,.00022110002
ROW,2,4,.00017869995
USA,2,4,.000049997536
BRA,3,4,.0061447001
CHN,3,4,.020319778
EU,3,4,.0302651
IND,3,4,.0030506451
JPN,3,4,.00088540011
ROW,3,4,.033664092
USA,3,4,.017588634
BRA,4,4,.0420046
CHN,4,4,.11572022
EU,4,4,.1164791
IND,4,4,.077857994
JPN,4,4,.0054723006
ROW,4,4,.22628695
USA,4,4,.10986069
BRA,5,4,.036949199
CHN,5,4,.0026976911
EU,5,4,.035071
IND,5,4,.15964657
JPN,5,4,.008741701
ROW,5,4,.072368681
USA,5,4,.025875526
BRA,6,4,.0077084
CHN,6,4,.016431935
EU,6,4,.0058746999
IND,6,4,.013663058
JPN,6,4,.0053602005
ROW,6,4,.003680499
USA,6,4,.00073356391
BRA,7,4,.0051970002
CHN,7,4,.0092928251
EU,7,4,.0014633
IND,7,4,.019456673
JPN,7,4,.0043412005
ROW,7,4,.0035599992
USA,7,4,.00037738142
BRA,8,4,.00017460001
CHN,8,4,.0038372451
EU,8,4,.0060721999
IND,8,4,.001171002
JPN,8,4,.00063260004
ROW,8,4,.0018774995
USA,8,4,.0021476944
BRA,9,4,.0027137999
CHN,9,4,.0037449487
EU,9,4,.0078555001
IND,9,4,.0074349786
JPN,9,4,.0035673005
ROW,9,4,.0022409996
USA,9,4,.0036294213
BRA,10,4,.093681403
CHN,10,4,.11739385
EU,10,4,.030652599
IND,10,4,.069710076
JPN,10,4,.18289952
ROW,10,4,.066813484
USA,10,4,.053589161
BRA,11,4,.080951199
CHN,11,4,.1037169
EU,11,4,.032112502
IND,11,4,.14151947
JPN,11,4,.013748202
ROW,11,4,.029531993
USA,11,4,.048487313
BRA,12,4,.0005429
CHN,12,4,.00017139307
EU,12,4,.0035536001
IND,12,4,.010166651
JPN,12,4,.0022435002
ROW,12,4,.00099909981
USA,12,4,.00034948281
BRA,13,4,.016288901
CHN,13,4,.014135029
EU,13,4,.0090918997
IND,13,4,.028660204
JPN,13,4,.0077884011
ROW,13,4,.010547197
USA,13,4,.01665028
BRA,14,4,.0026577001
CHN,14,4,.019173926
EU,14,4,.0423964
IND,14,4,.0024683936
JPN,14,4,.0016958002
ROW,14,4,.0065978984
USA,14,4,.0068422635
BRA,15,4,.0080508003
CHN,15,4,.01606755
EU,15,4,.0224586
IND,15,4,.034182042
JPN,15,4,.0076106009
ROW,15,4,.014735096
USA,15,4,.01401821
BRA,16,4,.017925801
CHN,16,4,.043870028
EU,16,4,.0218959
IND,16,4,.10676917
JPN,16,4,.023553804
ROW,16,4,.022688195
USA,16,4,.017409243
BRA,17,4,.0037362999
CHN,17,4,.0021611126
EU,17,4,.0044515999
IND,17,4,.006723138
JPN,17,4,.0081538009
ROW,17,4,.0027745992
USA,17,4,.00096975226
BRA,18,4,.0029978999
CHN,18,4,.014328421
EU,18,4,.0058338
IND,18,4,.0079508359
JPN,18,4,.0028131003
ROW,18,4,.0048022992
USA,18,4,.0016462189
BRA,19,4,.073049597
CHN,19,4,.10069013
EU,19,4,.0386016
IND,19,4,.036575146
JPN,19,4,.010826901
ROW,19,4,.035363693
USA,19,4,.077423684
BRA,20,4,.0049598999
CHN,20,4,.017933076
