iso_o,iso_d,indcode,tradevalue
EU,USA,9,4661.4833984375
IND,USA,9,225.902973
JPN,USA,9,476.2017640000001
ROW,USA,9,13105.5849609375
USA,USA,9,242831.3836220001
BRA,BRA,10,112434.092302
CHN,BRA,10,173.863138
EU,BRA,10,2975.646728515625
IND,BRA,10,293.806452
JPN,BRA,10,16.847127
ROW,BRA,10,3783.357177734375
USA,BRA,10,5639.093868000001
BRA,CHN,10,125.55797
CHN,CHN,10,551509.720899
EU,CHN,10,1783.708129882813
IND,CHN,10,1076.792022
JPN,CHN,10,1517.147339
ROW,CHN,10,26874.46484375
USA,CHN,10,3711.546778000001
BRA,EU,10,447.7404479980469
CHN,EU,10,559.8303375244141
EU,EU,10,315300.90625
IND,EU,10,4630.57666015625
JPN,EU,10,512.275390625
ROW,EU,10,56248.28515625
USA,EU,10,7310.80029296875
BRA,IND,10,242.5004040000001
CHN,IND,10,1686.915354
EU,IND,10,1703.700927734375
IND,IND,10,116993.123647
JPN,IND,10,625.3331730000001
ROW,IND,10,13966.2060546875
USA,IND,10,2906.91533
BRA,JPN,10,41.718299
CHN,JPN,10,765.8338560000001
EU,JPN,10,578.2587280273438
IND,JPN,10,2909.435562
JPN,JPN,10,129900.485677
ROW,JPN,10,11673.2626953125
USA,JPN,10,4427.096578000002
BRA,ROW,10,2462.874755859375
CHN,ROW,10,15211.72265625
EU,ROW,10,58744.7421875
IND,ROW,10,30772.13671875
JPN,ROW,10,8554.3779296875
ROW,ROW,10,955241.4375
USA,ROW,10,57530.30859375
BRA,USA,10,1399.999971
CHN,USA,10,586.074924
EU,USA,10,12221.265625
IND,USA,10,3954.963787
JPN,USA,10,735.98248
ROW,USA,10,31681.388671875
USA,USA,10,417206.421649
BRA,BRA,11,94011.49230099999
CHN,BRA,11,3874.441641
EU,BRA,11,5783.30615234375
IND,BRA,11,866.3998859999999
JPN,BRA,11,310.616122
ROW,BRA,11,9102.67578125
USA,BRA,11,4798.578641000001
BRA,CHN,11,360.1471129999999
CHN,CHN,11,1126305.657542
EU,CHN,11,19506.205078125
IND,CHN,11,1666.095062
JPN,CHN,11,13128.76860700001
ROW,CHN,11,81947.7578125
USA,CHN,11,10992.034493
BRA,EU,11,782.087890625
CHN,EU,11,12440.26953125
EU,EU,11,455679.65625
IND,EU,11,3271.334228515625
JPN,EU,11,4627.49755859375
ROW,EU,11,39391.05859375
USA,EU,11,14354.552734375
BRA,IND,11,232.080595
CHN,IND,11,9957.584696999998
EU,IND,11,5095.18212890625
IND,IND,11,98971.34270199997
JPN,IND,11,1244.035827
ROW,IND,11,20002.70703125
USA,IND,11,2794.447135999999
BRA,JPN,11,292.3728459999999
CHN,JPN,11,7334.684908000002
EU,JPN,11,7149.498046875
IND,JPN,11,479.4548509999999
JPN,JPN,11,139005.32927
ROW,JPN,11,10234.3369140625
USA,JPN,11,5343.850196999999
BRA,ROW,11,4889.96630859375
CHN,ROW,11,62564.9482421875
EU,ROW,11,88712.9375
IND,ROW,11,9131.6796875
JPN,ROW,11,20959.65234375
ROW,ROW,11,657108.6875
USA,ROW,11,58558.29296875
BRA,USA,11,1513.623536
CHN,USA,11,11516.417544
EU,USA,11,30710.046875
IND,USA,11,2348.054191
JPN,USA,11,4075.213932
ROW,USA,11,30749.318359375
USA,USA,11,420453.2978870001
BRA,BRA,12,19446.898136
CHN,BRA,12,758.9957910000001
EU,BRA,12,2634.448486328125
IND,BRA,12,303.838211
JPN,BRA,12,91.050924
ROW,BRA,12,1334.679443359375
